"","...6","...7","...8","Total_Reading","DateTime"
"1",1,1,0,433671.648,2024-01-01 00:00:00
"2",1,1,1,408388.611,2024-01-01 01:00:00
"3",1,1,2,397242.45,2024-01-01 02:00:00
"4",1,1,3,373994.846,2024-01-01 03:00:00
"5",1,1,4,351680.207,2024-01-01 04:00:00
"6",1,1,5,329482.535,2024-01-01 05:00:00
"7",1,1,6,308837.378,2024-01-01 06:00:00
"8",1,1,7,312558.899,2024-01-01 07:00:00
"9",1,1,8,342900.011,2024-01-01 08:00:00
"10",1,1,9,405548.413,2024-01-01 09:00:00
"11",1,1,10,455468.308,2024-01-01 10:00:00
"12",1,1,11,486888.937,2024-01-01 11:00:00
"13",1,1,12,504094.189,2024-01-01 12:00:00
"14",1,1,13,526704.956,2024-01-01 13:00:00
"15",1,1,14,501309.808,2024-01-01 14:00:00
"16",1,1,15,519700.486,2024-01-01 15:00:00
"17",1,1,16,573136.223,2024-01-01 16:00:00
"18",1,1,17,630467.664,2024-01-01 17:00:00
"19",1,1,18,638809.524,2024-01-01 18:00:00
"20",1,1,19,562311.802,2024-01-01 19:00:00
"21",1,1,20,508764.827,2024-01-01 20:00:00
"22",1,1,21,476790.866,2024-01-01 21:00:00
"23",1,1,22,429173.143,2024-01-01 22:00:00
"24",1,1,23,402928.085,2024-01-01 23:00:00
"25",1,2,0,389100.381,2024-01-02 00:00:00
"26",1,2,1,382516.705,2024-01-02 01:00:00
"27",1,2,2,362747.748,2024-01-02 02:00:00
"28",1,2,3,334134.871,2024-01-02 03:00:00
"29",1,2,4,304262.451,2024-01-02 04:00:00
"30",1,2,5,313031.399,2024-01-02 05:00:00
"31",1,2,6,327808.633,2024-01-02 06:00:00
"32",1,2,7,355594.732,2024-01-02 07:00:00
"33",1,2,8,387427.266,2024-01-02 08:00:00
"34",1,2,9,414890.401,2024-01-02 09:00:00
"35",1,2,10,453591.356,2024-01-02 10:00:00
"36",1,2,11,456856.092,2024-01-02 11:00:00
"37",1,2,12,464124.02,2024-01-02 12:00:00
"38",1,2,13,472141.506,2024-01-02 13:00:00
"39",1,2,14,474076.098,2024-01-02 14:00:00
"40",1,2,15,503207.984,2024-01-02 15:00:00
"41",1,2,16,580031.91,2024-01-02 16:00:00
"42",1,2,17,702901.465,2024-01-02 17:00:00
"43",1,2,18,730562.287,2024-01-02 18:00:00
"44",1,2,19,654873.009,2024-01-02 19:00:00
"45",1,2,20,580633.982,2024-01-02 20:00:00
"46",1,2,21,552171.651,2024-01-02 21:00:00
"47",1,2,22,507020.193,2024-01-02 22:00:00
"48",1,2,23,465129.104,2024-01-02 23:00:00
"49",1,3,0,472772.107,2024-01-03 00:00:00
"50",1,3,1,495564.609,2024-01-03 01:00:00
"51",1,3,2,467446.412,2024-01-03 02:00:00
"52",1,3,3,428558.03,2024-01-03 03:00:00
"53",1,3,4,388372.156,2024-01-03 04:00:00
"54",1,3,5,368840.148,2024-01-03 05:00:00
"55",1,3,6,403087.832,2024-01-03 06:00:00
"56",1,3,7,419270.171,2024-01-03 07:00:00
"57",1,3,8,453252.876,2024-01-03 08:00:00
"58",1,3,9,462329.123,2024-01-03 09:00:00
"59",1,3,10,472711.793,2024-01-03 10:00:00
"60",1,3,11,488564.807,2024-01-03 11:00:00
"61",1,3,12,505992.849,2024-01-03 12:00:00
"62",1,3,13,499954.878,2024-01-03 13:00:00
"63",1,3,14,510980.457,2024-01-03 14:00:00
"64",1,3,15,535559.257,2024-01-03 15:00:00
"65",1,3,16,639482.917,2024-01-03 16:00:00
"66",1,3,17,748305.96,2024-01-03 17:00:00
"67",1,3,18,719213.538,2024-01-03 18:00:00
"68",1,3,19,640494.264,2024-01-03 19:00:00
"69",1,3,20,581525.779,2024-01-03 20:00:00
