"","Report 1","...4","...5","Total_Reading","DateTime"
"1","1","1","0",536.195,2023-01-01 00:00:00
"2","1","1","1",705.469,2023-01-01 01:00:00
"3","1","1","2",773.463,2023-01-01 02:00:00
"4","1","1","3",788.481,2023-01-01 03:00:00
"5","1","1","4",876.967,2023-01-01 04:00:00
"6","1","1","5",875.24,2023-01-01 05:00:00
"7","1","1","6",883.807,2023-01-01 06:00:00
"8","1","1","7",1067.861,2023-01-01 07:00:00
"9","1","1","8",1417.968,2023-01-01 08:00:00
"10","1","1","9",1679.38,2023-01-01 09:00:00
"11","1","1","10",2887.695,2023-01-01 10:00:00
"12","1","1","11",5374.986,2023-01-01 11:00:00
"13","1","1","12",7206.869,2023-01-01 12:00:00
"14","1","1","13",6579.014,2023-01-01 13:00:00
"15","1","1","14",4613.836,2023-01-01 14:00:00
"16","1","1","15",2641.45,2023-01-01 15:00:00
"17","1","1","16",2415.956,2023-01-01 16:00:00
"18","1","1","17",2420.713,2023-01-01 17:00:00
"19","1","1","18",2222.624,2023-01-01 18:00:00
"20","1","1","19",1939.73,2023-01-01 19:00:00
"21","1","1","20",1532.589,2023-01-01 20:00:00
"22","1","1","21",1253.339,2023-01-01 21:00:00
"23","1","1","22",1044.033,2023-01-01 22:00:00
"24","1","1","23",801.032,2023-01-01 23:00:00
"25","1","2","0",619.045,2023-01-02 00:00:00
"26","1","2","1",433.247,2023-01-02 01:00:00
"27","1","2","2",330.341,2023-01-02 02:00:00
"28","1","2","3",276.016,2023-01-02 03:00:00
"29","1","2","4",224.056,2023-01-02 04:00:00
"30","1","2","5",220.145,2023-01-02 05:00:00
"31","1","2","6",143.571,2023-01-02 06:00:00
"32","1","2","7",105.661,2023-01-02 07:00:00
"33","1","2","8",92.698,2023-01-02 08:00:00
"34","1","2","9",107.566,2023-01-02 09:00:00
"35","1","2","10",348.232,2023-01-02 10:00:00
"36","1","2","11",1067.03,2023-01-02 11:00:00
"37","1","2","12",1624.993,2023-01-02 12:00:00
"38","1","2","13",2024.049,2023-01-02 13:00:00
"39","1","2","14",1471.637,2023-01-02 14:00:00
"40","1","2","15",433.722,2023-01-02 15:00:00
"41","1","2","16",664.827,2023-01-02 16:00:00
"42","1","2","17",820.745,2023-01-02 17:00:00
"43","1","2","18",1129.705,2023-01-02 18:00:00
"44","1","2","19",1520.598,2023-01-02 19:00:00
"45","1","2","20",1963.588,2023-01-02 20:00:00
"46","1","2","21",1946.688,2023-01-02 21:00:00
"47","1","2","22",1575.388,2023-01-02 22:00:00
"48","1","2","23",1365.113,2023-01-02 23:00:00
"49","1","3","0",1441.587,2023-01-03 00:00:00
"50","1","3","1",1408.479,2023-01-03 01:00:00
"51","1","3","2",1466.996,2023-01-03 02:00:00
"52","1","3","3",1323.377,2023-01-03 03:00:00
"53","1","3","4",1209.702,2023-01-03 04:00:00
"54","1","3","5",829.456,2023-01-03 05:00:00
"55","1","3","6",664.264,2023-01-03 06:00:00
"56","1","3","7",543.983,2023-01-03 07:00:00
"57","1","3","8",358.869,2023-01-03 08:00:00
"58","1","3","9",3115.446,2023-01-03 09:00:00
"59","1","3","10",18482.099,2023-01-03 10:00:00
"60","1","3","11",37756.573,2023-01-03 11:00:00
"61","1","3","12",46207.199,2023-01-03 12:00:00
"62","1","3","13",37071.427,2023-01-03 13:00:00
"63","1","3","14",20732.741,2023-01-03 14:00:00
"64","1","3","15",2684.246,2023-01-03 15:00:00
"65","1","3","16",235.5,2023-01-03 16:00:00
"66","1","3","17",319.564,2023-01-03 17:00:00
"67","1","3","18",469.621,2023-01-03 18:00:00
"68","1","3","19",709.495,2023-01-03 19:00:00
"69","1","3","20",897.246,2023-01-03 20:00:00
"70","1","3","21",1088.959,2023-01-03 21:00:00
"71","1","3","22",1349.926,2023-01-03 22:00:00
"72","1","3","23",1691.862,2023-01-03 23:00:00
"73","1","4","0",2039.593,2023-01-04 00:00:00
"74","1","4","1",2326.96,2023-01-04 01:00:00
"75","1","4","2",2567.352,2023-01-04 02:00:00
"76","1","4","3",2817.769,2023-01-04 03:00:00
"77","1","4","4",2955.156,2023-01-04 04:00:00
"78","1","4","5",2923.709,2023-01-04 05:00:00
"79","1","4","6",2827.17,2023-01-04 06:00:00
"80","1","4","7",2964.382,2023-01-04 07:00:00
"81","1","4","8",2216.198,2023-01-04 08:00:00
"82","1","4","9",2235.655,2023-01-04 09:00:00
"83","1","4","10",2473.79,2023-01-04 10:00:00
"84","1","4","11",3098.287,2023-01-04 11:00:00
"85","1","4","12",3299.875,2023-01-04 12:00:00
"86","1","4","13",3356.889,2023-01-04 13:00:00
"87","1","4","14",2821.83,2023-01-04 14:00:00
"88","1","4","15",2583.785,2023-01-04 15:00:00
"89","1","4","16",2688.815,2023-01-04 16:00:00
"90","1","4","17",2818.578,2023-01-04 17:00:00
"91","1","4","18",3054.648,2023-01-04 18:00:00
"92","1","4","19",3247.783,2023-01-04 19:00:00
"93","1","4","20",3391.403,2023-01-04 20:00:00
"94","1","4","21",3062.662,2023-01-04 21:00:00
"95","1","4","22",2872.409,2023-01-04 22:00:00
"96","1","4","23",2704.27,2023-01-04 23:00:00
"97","1","5","0",2518.076,2023-01-05 00:00:00
"98","1","5","1",2398.036,2023-01-05 01:00:00
"99","1","5","2",2316.647,2023-01-05 02:00:00
"100","1","5","3",2324.862,2023-01-05 03:00:00
"101","1","5","4",2377.752,2023-01-05 04:00:00
"102","1","5","5",2400.655,2023-01-05 05:00:00
"103","1","5","6",2313.891,2023-01-05 06:00:00
"104","1","5","7",1954.447,2023-01-05 07:00:00
"105","1","5","8",1469.353,2023-01-05 08:00:00
"106","1","5","9",1872.879,2023-01-05 09:00:00
"107","1","5","10",9725.941,2023-01-05 10:00:00
"108","1","5","11",21024.767,2023-01-05 11:00:00
"109","1","5","12",25825.708,2023-01-05 12:00:00
"110","1","5","13",23608.996,2023-01-05 13:00:00
"111","1","5","14",12200.056,2023-01-05 14:00:00
"112","1","5","15",1476.297,2023-01-05 15:00:00
"113","1","5","16",103.218,2023-01-05 16:00:00
"114","1","5","17",136.849,2023-01-05 17:00:00
"115","1","5","18",132.146,2023-01-05 18:00:00
"116","1","5","19",114.604,2023-01-05 19:00:00
"117","1","5","20",136.013,2023-01-05 20:00:00
