"","...5","...6","...7","Total_Reading","DateTime"
"1",1,1,0,570667.582,2023-01-01 00:00:00
"2",1,1,1,574584.491,2023-01-01 01:00:00
"3",1,1,2,559085.339,2023-01-01 02:00:00
"4",1,1,3,497818.961,2023-01-01 03:00:00
"5",1,1,4,446863.233,2023-01-01 04:00:00
"6",1,1,5,416944.851,2023-01-01 05:00:00
"7",1,1,6,403378.632,2023-01-01 06:00:00
"8",1,1,7,414101.779,2023-01-01 07:00:00
"9",1,1,8,475428.881,2023-01-01 08:00:00
"10",1,1,9,579096.944,2023-01-01 09:00:00
"11",1,1,10,661245.59,2023-01-01 10:00:00
"12",1,1,11,695556.58,2023-01-01 11:00:00
"13",1,1,12,710096.616,2023-01-01 12:00:00
"14",1,1,13,709354.367,2023-01-01 13:00:00
"15",1,1,14,719999.769,2023-01-01 14:00:00
"16",1,1,15,712318.61,2023-01-01 15:00:00
"17",1,1,16,771218.377,2023-01-01 16:00:00
"18",1,1,17,913558.28,2023-01-01 17:00:00
"19",1,1,18,858374.84,2023-01-01 18:00:00
"20",1,1,19,766507.856,2023-01-01 19:00:00
"21",1,1,20,706504.187,2023-01-01 20:00:00
"22",1,1,21,635660.652,2023-01-01 21:00:00
"23",1,1,22,582034.42,2023-01-01 22:00:00
"24",1,1,23,527928.925,2023-01-01 23:00:00
"25",1,2,0,463550.933,2023-01-02 00:00:00
"26",1,2,1,445280.156,2023-01-02 01:00:00
"27",1,2,2,430123.652,2023-01-02 02:00:00
"28",1,2,3,413732.682,2023-01-02 03:00:00
"29",1,2,4,411083.824,2023-01-02 04:00:00
"30",1,2,5,413080.477,2023-01-02 05:00:00
"31",1,2,6,443741.208,2023-01-02 06:00:00
"32",1,2,7,449106.268,2023-01-02 07:00:00
"33",1,2,8,469984.675,2023-01-02 08:00:00
"34",1,2,9,511197.942,2023-01-02 09:00:00
"35",1,2,10,532570.853,2023-01-02 10:00:00
"36",1,2,11,528523.127,2023-01-02 11:00:00
"37",1,2,12,547633.335,2023-01-02 12:00:00
"38",1,2,13,553578.066,2023-01-02 13:00:00
"39",1,2,14,548665.468,2023-01-02 14:00:00
"40",1,2,15,575922.629,2023-01-02 15:00:00
"41",1,2,16,703171.383,2023-01-02 16:00:00
"42",1,2,17,911823.158,2023-01-02 17:00:00
"43",1,2,18,825200.118,2023-01-02 18:00:00
"44",1,2,19,720779.092,2023-01-02 19:00:00
"45",1,2,20,660105.213,2023-01-02 20:00:00
"46",1,2,21,621875.339,2023-01-02 21:00:00
"47",1,2,22,552314.628,2023-01-02 22:00:00
"48",1,2,23,497628.278,2023-01-02 23:00:00
"49",1,3,0,469733.445,2023-01-03 00:00:00
"50",1,3,1,487136.643,2023-01-03 01:00:00
"51",1,3,2,473497.679,2023-01-03 02:00:00
"52",1,3,3,446751.225,2023-01-03 03:00:00
"53",1,3,4,387942.714,2023-01-03 04:00:00
"54",1,3,5,366456.833,2023-01-03 05:00:00
"55",1,3,6,398913.235,2023-01-03 06:00:00
"56",1,3,7,447997.121,2023-01-03 07:00:00
"57",1,3,8,473653.388,2023-01-03 08:00:00
"58",1,3,9,469566.742,2023-01-03 09:00:00
"59",1,3,10,464199.774,2023-01-03 10:00:00
"60",1,3,11,457924.613,2023-01-03 11:00:00
"61",1,3,12,466390.764,2023-01-03 12:00:00
"62",1,3,13,445239.025,2023-01-03 13:00:00
"63",1,3,14,460994.437,2023-01-03 14:00:00
"64",1,3,15,496846.848,2023-01-03 15:00:00
"65",1,3,16,636802.005,2023-01-03 16:00:00
"66",1,3,17,863250.761,2023-01-03 17:00:00
"67",1,3,18,808421.297,2023-01-03 18:00:00
"68",1,3,19,703609.913,2023-01-03 19:00:00
"69",1,3,20,676927.561,2023-01-03 20:00:00
"70",1,3,21,634354.975,2023-01-03 21:00:00
"71",1,3,22,566421.002,2023-01-03 22:00:00
"72",1,3,23,538014.008,2023-01-03 23:00:00
"73",1,4,0,507067.568,2023-01-04 00:00:00
"74",1,4,1,502465.89,2023-01-04 01:00:00
