"","lon","lat","calculatedAt","created","from","parameterId","qcStatus","timeResolution","to","value","month"
"1",11.7644,55.9594,"2023-01-02T15:12:05.372000","2023-05-17T14:05:12.138307+00:00","2022-12-31T23:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T00:00:00+00:00",0,"jan"
"2",11.7644,55.9594,"2023-01-02T15:20:57.907000","2023-05-17T14:05:12.141053+00:00","2023-01-01T00:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T01:00:00+00:00",0,"jan"
"3",11.7644,55.9594,"2023-01-02T15:27:50.844000","2023-05-17T14:05:12.142834+00:00","2023-01-01T01:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T02:00:00+00:00",0,"jan"
"4",11.7644,55.9594,"2023-01-02T15:34:39.282000","2023-05-17T14:05:12.152908+00:00","2023-01-01T02:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T03:00:00+00:00",0,"jan"
"5",11.7644,55.9594,"2023-01-02T15:42:07.133000","2023-05-17T14:05:12.163458+00:00","2023-01-01T03:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T04:00:00+00:00",0,"jan"
"6",11.7644,55.9594,"2023-01-02T15:50:07.863000","2023-05-17T14:05:12.184900+00:00","2023-01-01T04:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T05:00:00+00:00",0,"jan"
"7",11.7644,55.9594,"2023-01-02T15:57:04.957000","2023-05-17T14:05:12.124389+00:00","2023-01-01T05:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T06:00:00+00:00",0,"jan"
"8",11.7644,55.9594,"2023-01-02T16:02:23.493000","2023-05-17T14:05:12.136298+00:00","2023-01-01T06:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T07:00:00+00:00",0,"jan"
"9",11.7644,55.9594,"2023-01-02T16:09:22.327000","2023-05-17T14:05:12.143963+00:00","2023-01-01T07:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T08:00:00+00:00",0,"jan"
"10",11.7644,55.9594,"2023-01-02T16:15:34.708000","2023-05-17T14:05:12.156949+00:00","2023-01-01T08:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T09:00:00+00:00",0.2,"jan"
"11",11.7644,55.9594,"2023-01-02T16:24:39.275000","2023-05-17T14:05:12.160756+00:00","2023-01-01T09:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T10:00:00+00:00",2.6,"jan"
"12",11.7644,55.9594,"2023-01-02T16:30:32.967000","2023-05-17T14:05:12.164825+00:00","2023-01-01T10:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T11:00:00+00:00",5.6,"jan"
"13",11.7644,55.9594,"2023-01-02T16:34:46.181000","2023-05-17T14:05:12.171408+00:00","2023-01-01T11:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T12:00:00+00:00",3.2,"jan"
"14",11.7644,55.9594,"2023-01-02T16:40:57.668000","2023-05-17T14:05:12.189496+00:00","2023-01-01T12:00:00+00:00","bright_sunshine","manual","hour","2023-01-01T13:00:00+00:00",4.2,"jan"
